policy,run_dir,checkpoint,branch_index,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,3,0.27354896068573,0.2735487339560083,0.18593026041129426,0.14444871246814728,0.009011296555399895,0.0001263978920178488
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,4,0.1716747283935547,0.1716752470818963,0.19801802696003332,0.1870606392621994,0.008950570598244667,6.217392638063757e-06
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,5,0.6239591836929321,0.6239595410981522,0.1735419292969305,0.1316966414451599,0.008571358397603035,0.0006657494814135134
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,6,0.4501986503601074,0.4501966431812685,0.19008046125578398,0.08343643695116043,0.009713203646242619,0.001547020860016346
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,7,0.03288698196411133,0.032886758040144404,0.16657471552087658,0.15869130194187164,0.008078329265117645,0.000734188302885741
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,8,0.1314626932144165,0.13146168218891652,0.1816616078550591,0.17730607092380524,0.008596508763730526,0.0047118463553488255
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,9,0.07139790058135986,0.07139744902755041,0.11530429216388212,0.10389015078544617,0.006734001450240612,0.0001875601155916229
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,10,-0.04717278480529785,-0.047173633884522115,0.2026812869349153,0.22786198556423187,0.008629164658486843,0.002201787894591689
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,11,-0.05828613042831421,-0.05828610008231894,0.16452950153588752,0.2859733998775482,0.008463805541396141,0.009563498198986053
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,12,-0.05893927812576294,-0.05893853156679718,0.18085527281279778,0.23557886481285095,0.008183217607438564,0.0019418890587985516
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,13,0.015917181968688965,0.01591765981188553,0.16777218367421354,0.10462760925292969,0.0080416239798069,0.00022790374350734055
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,14,0.013753294944763184,0.013752922190234829,0.18224854407027316,0.2124265730381012,0.008200477808713913,0.0011818771017715335
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,15,0.0024251937866210938,0.002425147601888389,0.14984076484936065,0.1222202330827713,0.007465670816600323,0.001120454864576459
RCPO Gaussian v2.2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v2.2_rcpo_none_20260621_143215\seed_0,checkpoint_best.pt,16,0.38417768478393555,0.3841787868535256,0.157178177185338,0.12494649738073349,0.007623783778399229,0.025013595819473267
