policy,training_seed,branch_index,run_dir,checkpoint,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_effective_drawdown_budget_squared,average_allocation_constraint_raw_cost,average_concentration,maximum_single_asset_weight
Q80 lambda-up 0.00025,3,1,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,-0.047369956970214844,-0.04736938431213045,0.160062650820933,0.15638238191604614,0.12036851793527603,0.00026330151013098657,0.015391984954476357,0.0,0.23323801159858704,0.43265873193740845
Q80 lambda-up 0.00025,3,2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.23133456707000732,0.231335594539559,0.14566594816612205,0.09472165256738663,0.10427869856357574,0.0005742056528106332,0.002944039413705468,0.0,0.23069263994693756,0.4079212546348572
Q80 lambda-up 0.00025,3,3,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,-0.3320344090461731,-0.33203454486145323,0.21581848656588454,0.42414072155952454,0.14873740077018738,0.001006776699796319,0.05114961788058281,0.0,0.23821069300174713,0.4394521415233612
Q80 lambda-up 0.00025,3,4,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.015341997146606445,0.015343011851920219,0.19062063476951888,0.1584835797548294,0.13266906142234802,1.6803189282654785e-05,0.005325237289071083,0.0,0.23245766758918762,0.4291475713253021
Q80 lambda-up 0.00025,3,5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.203080415725708,0.20308116269878784,0.136090017285611,0.10022450983524323,0.10435202717781067,2.2334586901706643e-05,0.0029666831251233816,0.0,0.22987677156925201,0.41323983669281006
Q80 lambda-up 0.00025,3,6,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.06490230560302734,0.06490285650603278,0.18937025365108745,0.14166010916233063,0.13529299199581146,0.0015660796780139208,0.005443105008453131,0.0,0.23051001131534576,0.4095672369003296
Q80 lambda-up 0.00025,3,7,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.17403459548950195,0.17403452698446475,0.15951402069472698,0.06677685678005219,0.11370358616113663,0.0001327351783402264,0.0025276197120547295,0.0,0.23060767352581024,0.39311644434928894
Q80 lambda-up 0.00025,3,8,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.775093674659729,0.7750935698946815,0.1649177221423184,0.0966699942946434,0.10457724332809448,0.00018080015433952212,0.002597436076030135,0.0,0.2308981716632843,0.42362692952156067
Q80 lambda-up 0.00025,3,9,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.14382636547088623,0.1438252872394341,0.16180134217241995,0.14067944884300232,0.1203872486948967,0.0003099704917985946,0.004046711605042219,0.0,0.2298610359430313,0.4025264084339142
Q80 lambda-up 0.00025,3,10,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_final_q80_lr025_rcpo_none_20260831_200122\seed_3,checkpoint_best_return.pt,0.2179267406463623,0.21792609657891004,0.17089231885314635,0.09023712575435638,0.11192385852336884,5.325367965269834e-06,0.004824609495699406,0.0,0.2381613850593567,0.42213067412376404
